Actual Close,Predicted Close
10450.0,10433.091
10475.0,10406.532
10300.0,10420.164
10400.0,10281.019
10425.0,10366.532
10500.0,10388.998
10375.0,10479.388
10500.0,10394.115
10625.0,10516.109
10475.0,10627.668
10725.0,10530.005
10750.0,10747.434
10675.0,10770.149
10500.0,10730.518
10650.0,10571.799
10700.0,10665.336
10750.0,10687.853
10600.0,10732.221
10500.0,10603.316
10350.0,10503.858
10250.0,10349.241
10425.0,10238.917
10375.0,10358.094
10500.0,10318.214
10450.0,10440.755
